id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
50950236,Rental unit in Washington · ★4.90 · 1 bedroom · 2 beds · 2 baths,11443794,Hibiscus,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92432,-77.0238,Entire home/apt,79,31,10,2022-08-13,0.39,2,34,0,
50972673,Guest suite in Washington · ★4.69 · 1 bedroom · 2 beds · 1 bath,181205324,Plushy,,"Hawthorne, Barnaby Woods, Chevy Chase",38.96693,-77.05481,Entire home/apt,133,2,36,2023-08-05,1.37,3,306,15,Hosted License: 5007242201001757
50972776,Serviced apartment in Washington · 2 bedrooms · 2 beds · 2 baths,412101905,Patrick,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90161,-77.02102,Entire home/apt,150,31,0,,,1,0,0,
51000373,Guest suite in Washington · ★4.78 · 1 bedroom · 1 bed · 1 bath,1927771,Daniel,,"Kalorama Heights, Adams Morgan, Lanier Heights",38.92069,-77.04175,Entire home/apt,149,2,110,2023-09-12,4.30,1,152,45,Hosted License: 5007242201001061<br />Unhosted License: 5007262201001062
51046657,Condo in Washington · 2 bedrooms · 2 beds · 2 baths,400152336,Global Business,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92712,-77.03629,Entire home/apt,214,31,0,,,1,0,0,
51049629,Guest suite in Washington · ★4.85 · 1 bedroom · 2 beds · 1 bath,38051218,J,,"Mayfair, Hillbrook, Mahaning Heights",38.89619,-76.93879,Entire home/apt,85,3,74,2023-08-31,2.87,2,70,43,Hosted License: 5007242201000624
51070667,Rental unit in Washington · ★4.94 · 1 bedroom · 2 beds · 1 bath,135559842,Mauricio,,"Shaw, Logan Circle",38.90747,-77.02843,Entire home/apt,110,2,36,2023-08-31,1.40,1,0,11,Unhosted License: 5007262201000201
51085180,Rental unit in Washington · ★4.91 · 1 bedroom · 1 bed · 1 bath,182851117,Brian And Dionne,,"Dupont Circle, Connecticut Avenue/K Street",38.91454,-77.03559,Entire home/apt,88,31,11,2023-05-07,0.46,5,128,4,
51092606,Rental unit in Washington · ★4.75 · 1 bedroom · 1 bed · 1 bath,413419459,Michael,,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",38.87725,-77.01874,Entire home/apt,200,1,28,2022-06-25,1.12,1,148,0,Exempt
51101021,Townhouse in Washington · ★4.69 · 1 bedroom · 1 bed · 1.5 shared baths,26389480,Wilson,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92849,-77.02804,Private room,98,1,13,2023-09-01,0.94,18,178,12,Hosted License: 5007242201001423<br />Unhosted License: 5007262201001424
51121876,Rental unit in Washington · ★4.89 · 1 bedroom · 2 beds · 1 bath,77808209,Erik K.,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90555,-77.01545,Entire home/apt,153,2,136,2023-09-10,5.27,1,214,65,Hosted License: 5007242201000827
51128245,Rental unit in Washington · ★5.0 · 1 bedroom · 1 bed · 1 bath,19510846,Mk,,"Union Station, Stanton Park, Kingman Park",38.895,-77.00343,Entire home/apt,176,2,136,2023-09-07,5.33,1,33,64,Hosted License: 5007242201000290
51134713,Rental unit in Washington · ★4.80 · 1 bedroom · 1 bed · 1 bath,2672782,Richard,,"Shaw, Logan Circle",38.91194,-77.01823,Entire home/apt,163,28,5,2022-08-18,0.22,1,138,0,Hosted License: 5007242167002934<br />Unhosted License: 5007262167002934
51150371,Home in Washington · ★4.63 · 3 bedrooms · 3 beds · 2 baths,7100311,D.,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91311,-77.0157,Entire home/apt,249,1,80,2023-09-04,3.06,3,327,36,Exempt
51153657,Home in Washington · 3 bedrooms · 3 beds · 2 baths,14948112,Marina,,"Ivy City, Arboretum, Trinidad, Carver Langston",38.90329,-76.98456,Entire home/apt,214,31,0,,,1,0,0,
51162826,Home in Washington · 3 bedrooms · 3 beds · 2.5 baths,7650266,Stay Attache,,"Union Station, Stanton Park, Kingman Park",38.89719,-77.00355,Entire home/apt,274,31,0,,,60,79,0,
51163983,Home in Washington · ★4.29 · 4 bedrooms · 9 beds · 3.5 baths,136909025,Tanyi,,"Capitol View, Marshall Heights, Benning Heights",38.87646,-76.93401,Entire home/apt,307,1,91,2023-07-23,3.51,1,354,25,Unhosted License: 5007262201001819
51166198,Condo in Washington · 2 bedrooms · 2 beds · 2 baths,7650266,Stay Attache,,"Near Southeast, Navy Yard",38.87758,-77.00363,Entire home/apt,190,31,0,,,60,196,0,
51166696,Condo in Washington · 1 bedroom · 1 bed · 1 bath,7650266,Stay Attache,,"West End, Foggy Bottom, GWU",38.90422,-77.04865,Entire home/apt,116,31,0,,,60,350,0,
51167998,Condo in Washington · Studio · 1 bed · 1 bath,7650266,Stay Attache,,"Dupont Circle, Connecticut Avenue/K Street",38.91327,-77.03686,Entire home/apt,98,31,0,,,60,345,0,
51170066,Guest suite in Washington · ★4.65 · 1 bedroom · 2 beds · 1 bath,200622780,Mavin,,"Capitol Hill, Lincoln Park",38.8912,-76.9826,Entire home/apt,100,3,68,2023-08-22,2.64,1,54,34,Hosted License: 5007242201001751
51184169,Condo in Washington · 1 bedroom · 1 bed · 1 bath,7650266,Stay Attache,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90625,-77.03432,Entire home/apt,100,184,0,,,60,363,0,
51184324,Condo in Washington · ★5.0 · 1 bedroom · 1 bed · 1.5 baths,41149223,Adam,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92963,-77.02279,Entire home/apt,385,2,9,2023-09-10,0.35,1,78,1,Unhosted License: 5007262201001224
51184413,Townhouse in Washington · ★4.44 · 1 bedroom · 1 bed · 1.5 shared baths,90603359,Tyler-HostelChic,,"Brightwood Park, Crestwood, Petworth",38.94987,-77.01694,Private room,72,31,36,2023-05-23,1.41,4,346,17,Exempt
51185118,Home in Washington · 3 bedrooms · 3 beds · 4 baths,7650266,Stay Attache,,"Hawthorne, Barnaby Woods, Chevy Chase",38.9691,-77.05725,Entire home/apt,296,31,0,,,60,313,0,
51185408,Condo in Washington · 1 bedroom · 1 bed · 1 bath,7650266,Stay Attache,,"Dupont Circle, Connecticut Avenue/K Street",38.91472,-77.04281,Entire home/apt,133,31,0,,,60,223,0,
51186640,Condo in Washington · 1 bedroom · 1 bed · 1 bath,7650266,Stay Attache,,"Dupont Circle, Connecticut Avenue/K Street",38.91244,-77.04229,Entire home/apt,109,31,1,2022-06-08,0.06,60,314,0,
51187372,Rental unit in Washington · 2 bedrooms · 2 beds · 2 baths,399217548,Whyle,,"Howard University, Le Droit Park, Cardozo/Shaw",38.91984,-77.02487,Entire home/apt,198,30,1,2022-06-03,0.06,9,365,0,Exempt
51211541,Rental unit in Washington · 1 bedroom · 2 beds · 1 bath,414531185,Marcella,,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",38.877,-77.01414,Entire home/apt,200,31,0,,,1,0,0,
51213047,Serviced apartment in Washington · 1 bedroom · 1 bed · 1 bath,399217548,Whyle,,"Howard University, Le Droit Park, Cardozo/Shaw",38.91952,-77.02489,Entire home/apt,159,30,1,2022-04-19,0.06,9,365,0,Exempt
51214190,Townhouse in Washington · ★5.0 · 1 bedroom · 1 bed · 1 private bath,414561076,Webster,,"Douglas, Shipley Terrace",38.84911,-76.97957,Private room,96,31,4,2022-03-03,0.16,1,347,0,
51236808,Rental unit in Washington · ★4.45 · 2 bedrooms · 2 beds · 1 bath,369362194,Raymond,,"Ivy City, Arboretum, Trinidad, Carver Langston",38.90578,-76.97634,Entire home/apt,76,31,11,2023-07-09,0.43,1,255,1,
51246225,Condo in Washington · ★4.86 · 1 bedroom · 1 bed · 1 bath,49939274,Lauren,,"Ivy City, Arboretum, Trinidad, Carver Langston",38.90622,-76.98531,Entire home/apt,110,2,66,2023-08-23,2.54,1,46,48,Hosted License: 5007242201002256
51258867,Rental unit in Washington · ★New · Studio · 1 bed · 1 bath,16970386,Christina,,"Mayfair, Hillbrook, Mahaning Heights",38.89686975157529,-76.93714202527126,Entire home/apt,89,1,1,2023-08-19,1,1,154,1,Hosted License: 5007242201002928
51265806,Condo in Washington · 3 bedrooms · 6 beds · 2 baths,124782850,Jenna,,"Congress Heights, Bellevue, Washington Highlands",38.82804,-77.00819,Private room,115,4,1,2021-09-24,0.04,10,70,0,Exempt
51269176,Guest suite in Washington · ★4.91 · 1 bedroom · 2 beds · 1 bath,124402493,Michael,,"Howard University, Le Droit Park, Cardozo/Shaw",38.91499,-77.0199,Entire home/apt,86,2,181,2023-09-11,7.08,1,107,82,Hosted License: 5007242201001141
51280194,Condo in Washington · ★5.0 · 1 bedroom · 1 bed · 1 bath,15513341,Christina,,"Capitol Hill, Lincoln Park",38.88367,-76.99288,Entire home/apt,120,31,7,2022-06-09,0.28,1,0,0,
51300055,Townhouse in Washington · 3 bedrooms · 4 beds · 2.5 baths,209151231,Michelle,,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",38.89739,-76.93024,Entire home/apt,91,31,1,2022-08-06,0.07,1,129,0,
51305557,Rental unit in Washington · ★4.0 · 1 bedroom · 1 bed · 1 private bath,218477244,Alex,,"Brookland, Brentwood, Langdon",38.93052,-76.97625,Private room,60,31,6,2023-05-31,0.24,1,256,1,
51310221,Rental unit in Washington · ★5.0 · 1 bedroom · 1 bed · 1 bath,69203193,Leyla & Matt,,"Dupont Circle, Connecticut Avenue/K Street",38.915313720703125,-77.03614044189453,Entire home/apt,99,31,5,2023-07-14,0.22,37,334,2,
51323093,Rental unit in Washington · ★5.0 · 2 bedrooms · 2 beds · 1 bath,69203193,Leyla & Matt,,"Dupont Circle, Connecticut Avenue/K Street",38.91646,-77.03706,Entire home/apt,104,31,5,2023-05-20,0.24,37,329,2,
51328356,Rental unit in Washington · 1 bedroom · 1 bed · 1 bath,39930655,Team,,"Capitol Hill, Lincoln Park",38.88983,-76.98913,Entire home/apt,98,31,2,2023-01-02,0.09,216,348,1,Exempt
51349311,Guest suite in Washington · ★5.0 · 1 bedroom · 1 bed · 1 bath,12599191,Arielle,,"Brightwood Park, Crestwood, Petworth",38.94172,-77.0147,Entire home/apt,100,2,3,2022-05-15,0.18,2,40,0,Hosted License: 5007242201000442
51364937,Rental unit in Washington · ★4.80 · 1 bedroom · 1 bed · 1 bath,354095879,Isselmou,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91046,-77.00311,Entire home/apt,600,31,5,2022-01-03,0.20,1,365,0,
51385586,Rental unit in Washington · 1 bedroom · 1 bed · 1 bath,44093503,Anthony,,"Ivy City, Arboretum, Trinidad, Carver Langston",38.90287,-76.97982,Entire home/apt,80,31,0,,,1,0,0,
51393257,Serviced apartment in Washington · ★4.60 · 1 bedroom · 2 beds · 1 bath,410769692,Hamsun,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93366,-77.02507,Entire home/apt,130,31,5,2023-06-04,0.20,2,357,1,
51402226,Home in Washington · ★5.0 · 3 bedrooms · 3 beds · 3.5 baths,44838747,Shelby,,"Friendship Heights, American University Park, Tenleytown",38.95895,-77.08745,Entire home/apt,985,2,13,2022-05-09,0.51,1,0,0,Unhosted License: 5007262201000058
51405260,Rental unit in Washington · ★New · 1 bedroom · 1 bed · 1 bath,5055103,Lorenzo,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92725,-77.03443,Entire home/apt,150,2,0,,,1,326,0,Exempt
51408229,Rental unit in Washington · ★4.98 · Studio · 1 bed · 1 bath,10112608,Anju,,"Hawthorne, Barnaby Woods, Chevy Chase",38.96464,-77.05503,Entire home/apt,98,2,122,2023-09-12,4.80,1,316,65,Hosted License: 5007242201000063
51434786,Home in Washington · ★4.63 · 3 bedrooms · 3 beds · 1 bath,95748990,Reva,,"Brightwood Park, Crestwood, Petworth",38.95352,-77.02235,Entire home/apt,252,2,52,2023-08-06,2.19,2,180,28,Hosted License: 5007242201000179
51440218,Guest suite in Washington · ★4.89 · 2 bedrooms · 2 beds · 1 bath,38254954,Dean,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91261,-77.00508,Entire home/apt,151,2,132,2023-09-05,5.52,1,31,61,Hosted License: 5007242201001482
51448042,Home in Washington · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,337020834,M B K D C,,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",38.96104,-77.0007,Private room,29,31,11,2023-07-31,0.43,3,115,2,
51469358,Rental unit in Washington · ★4.63 · 1 bedroom · 1 bed · 1 bath,26180779,Will,,"Shaw, Logan Circle",38.90867,-77.02429,Entire home/apt,164,1,57,2023-08-05,2.25,9,147,26,Exempt
