id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
8347485,Capitol Hill hideaway,40308811,Marilyn,,"Capitol Hill, Lincoln Park",38.89182,-76.99503,Private room,70,31,44,2023-08-03,0.43,1,191,2,
8353034,A fabulous basement studio in my house!,44025619,Clifford,,"Takoma, Brightwood, Manor Park",38.98309,-77.02493,Private room,79,1,745,2024-03-23,7.20,1,111,94,Hosted License: 5007242201001036
8363399,Comfortable. Tidy. Accessible. Dupont 1BR.,184501754,Sharms,,"Dupont Circle, Connecticut Avenue/K Street",38.90846,-77.04762,Entire home/apt,160,2,355,2024-03-06,3.48,1,111,32,Hosted License: 5007242201001652
8381345,Large Bright Room & Private Bath - plus a house!,44167924,Emily,,"North Michigan Park, Michigan Park, University Heights",38.95271,-76.98901,Private room,72,21,4,2023-11-19,0.04,1,332,2,Hosted License: 5007242201000139
8397296,Location...Location...(Metro 2 blocks) ROOM ONLY,33109594,Byron,,"Union Station, Stanton Park, Kingman Park",38.90558,-77.00084,Private room,66,3,374,2024-03-21,3.79,2,222,48,Hosted License: 5007242201001626
8404345,Good Night 1 Bdrm w/ 2 Queen Beds,41656215,Chiazo,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92937,-77.02979,Entire home/apt,,2,39,2024-02-04,0.38,1,297,4,Hosted License: 5007242201001533
8409891,"2BR Mid-century gem, walk 2 metro, cnvcntr & sites",9296587,Josh,,"Shaw, Logan Circle",38.91067,-77.0191,Entire home/apt,146,31,109,2023-06-10,1.05,3,53,1,
8565538,Lovely Waterfront Georgetown Home,12895832,Ramsey,,"Georgetown, Burleith/Hillandale",38.90486,-77.06449,Entire home/apt,,31,171,2022-10-31,1.66,1,334,0,
8608311,Capitol Hill Private Apartment,7442764,Alex,,"Union Station, Stanton Park, Kingman Park",38.89827,-76.98612,Entire home/apt,149,2,260,2023-10-22,2.74,1,57,23,Hosted License: 5007242201000718
8616083,Charming  Private Room & Private bath so Clean!!,45325566,Elsy,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93473,-77.02848,Private room,200,31,38,2018-08-19,0.39,3,35,0,Hosted License: 5007242201001904
8645356,Georgetown Condo. Prime Location (Unit 2),41047431,Lisa,,"Georgetown, Burleith/Hillandale",38.90631,-77.05607,Entire home/apt,135,31,195,2023-06-26,1.90,7,112,9,Exempt
8645554,Georgetown Condo. Prime Location (Unit 3),41047431,Lisa,,"Georgetown, Burleith/Hillandale",38.90522,-77.05823,Entire home/apt,135,31,230,2023-07-29,2.33,7,270,10,Exempt
8645700,Georgetown Condo. Prime Location (Unit 4),41047431,Lisa,,"Georgetown, Burleith/Hillandale",38.90488,-77.05791,Entire home/apt,135,31,245,2023-10-06,2.41,7,249,20,Exempt
8646332,Dupont Circle Condo. Prime Location (Unit 4),41047431,Lisa,,"Dupont Circle, Connecticut Avenue/K Street",38.90869,-77.04576,Entire home/apt,132,3,129,2024-03-22,1.59,7,224,42,Exempt
8646530,Dupont Circle Condo. Prime Location (Unit 3),41047431,Lisa,,"Dupont Circle, Connecticut Avenue/K Street",38.90905,-77.04734,Entire home/apt,132,3,213,2024-03-22,2.23,7,227,53,Exempt
8737926,"All are welcomed, but the decor has a left lean.",38683977,Shaun,,"River Terrace, Benning, Greenway, Dupont Park",38.89414,-76.96076,Private room,49,31,368,2020-08-29,3.58,3,203,0,
8741535,Cozy 1BR Suite close to Rock Creek,45858892,Karen,,"Colonial Village, Shepherd Park, North Portal Estates",38.99066,-77.04364,Private room,80,2,58,2024-03-16,0.66,1,352,11,Hosted License: 5007242201000727
8796084,QUIET CITY RETREAT ★ PARKING | YARD,27323824,Karl,,"Brookland, Brentwood, Langdon",38.92887,-76.97197,Entire home/apt,81,2,161,2023-08-07,1.79,3,203,22,Exempt
8846542,Cozy Capitol Hill Townhome - Paris Bdrm,46326018,Pamela,,"Union Station, Stanton Park, Kingman Park",38.89478,-76.98442,Private room,108,2,103,2024-03-13,1.05,3,271,14,Hosted License: 5007242201002441
8964989,Explorers Paradise~Walk to Capitol!,46630199,Home Sweet City,,"Union Station, Stanton Park, Kingman Park",38.8926,-77.0013,Entire home/apt,,3,271,2024-02-23,2.72,67,157,35,Hosted License: 5007242201000959
8965848,Luxury Flat ~ Walk To Capitol!,46630199,Home Sweet City,,"Union Station, Stanton Park, Kingman Park",38.89261,-77.00127,Entire home/apt,434,3,271,2024-03-09,2.70,67,164,32,Hosted License: 5007242201000959
8967165,Rock Creek Park Residence~ Parking!,46630199,Home Sweet City,,"Hawthorne, Barnaby Woods, Chevy Chase",38.96866,-77.05639,Entire home/apt,200,3,186,2024-03-18,1.84,67,159,32,Hosted License: 5007242100000016
8973686,"Modern, Bright Studio Near 295",3004684,Kesha,,"Congress Heights, Bellevue, Washington Highlands",38.84718,-77.00452,Entire home/apt,,31,1,2015-11-01,0.01,1,53,0,
9028780,Great Apt in Shaw/U Street Corridor - Near Metro,190082,Sara Savi,,"Shaw, Logan Circle",38.91327,-77.0247,Entire home/apt,115,3,121,2023-12-08,1.21,1,245,12,Hosted License: 5007262201000626
9094563,Comfortable 1 br Apartment in Capitol Hill East,47417669,Lisa And John,,"Capitol Hill, Lincoln Park",38.88422671464264,-76.98167178176513,Entire home/apt,158,1,249,2024-03-09,2.78,1,123,57,Hosted License: 5007242201002270
9113304,Capitol Hill-SLP 6-Parking-Walk 2 BLK Metro/Cafes,2583808,Desiree,,"Capitol Hill, Lincoln Park",38.88097,-76.98915,Entire home/apt,298,31,92,2021-07-19,0.91,2,266,0,
9156290,SPECIAL PRICES Chic English Basement,5882214,Cristina And Orestes,,"Capitol Hill, Lincoln Park",38.89105,-76.99441,Entire home/apt,,1,630,2024-03-22,6.36,1,128,93,Hosted License: 5007242201000028
9171118,"Bright, Luxurious, Apartment in the Heart of DC",7259037,Maricel,,"Dupont Circle, Connecticut Avenue/K Street",38.9119,-77.03532,Entire home/apt,328,2,276,2024-01-24,2.97,1,176,41,Hosted License: 5007242201001232<br />Unhosted License: 5007262201001233
9177409,Walk to H Street From an Upscale Apartment,9068009,Melissa,,"Ivy City, Arboretum, Trinidad, Carver Langston",38.904,-76.99123,Entire home/apt,139,2,290,2024-03-14,3.19,1,205,43,Hosted License: 5007242201000205<br />Unhosted License: 5007262201000206
9199346,Furnished Room #3 near DC Convention center,8043437,Rocky,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90476,-77.02751,Private room,55,31,96,2022-11-19,0.95,5,305,0,
9329121,Charming Cap Hill 2BR - 3 blocks to Cap Vet Owned,10292686,Capitol Hill Stay,,"Union Station, Stanton Park, Kingman Park",38.89342,-77.00082,Entire home/apt,264,31,70,2023-08-06,0.70,18,349,1,
9363284,Stay in Prime Dupont Circle Location!,46630199,Home Sweet City,,"Dupont Circle, Connecticut Avenue/K Street",38.91279,-77.04598,Entire home/apt,351,3,209,2024-03-07,2.07,67,151,36,Hosted License: 5007242201000800
9371337,No Contact Rowhouse Studio w/ Private Entrance,19684173,Teodora,,"Brightwood Park, Crestwood, Petworth",38.94756,-77.02518,Entire home/apt,79,1,87,2024-02-19,0.86,2,242,8,Hosted License: 5007242201000583
9410545,B&B Charm - Room 203 | Walk to Dupont Circle Metro,138459,Lucia,,"Kalorama Heights, Adams Morgan, Lanier Heights",38.91766,-77.04598,Private room,243,1,2,2022-11-05,0.02,10,149,0,Exempt
9473056,English basement apartment,13716353,Genevieve,,"Capitol Hill, Lincoln Park",38.89165,-76.99154,Entire home/apt,90,31,21,2024-02-29,0.21,1,228,3,
9486921,Private entrance basement apartment,49170773,Shana,,"North Michigan Park, Michigan Park, University Heights",38.94146,-76.98618,Entire home/apt,90,1,172,2024-03-22,1.71,1,20,10,Hosted License: 5007242201000677
9489305,2 BR apartment Georgetown University Foxhall 20007,2851775,Tanya,,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",38.910903,-77.085703,Entire home/apt,270,3,22,2023-05-17,0.22,1,361,4,Hosted License: 5007242201001257
9644823,Lovely Studio 5 min drive to Sites/MGM+Metro+Pkg,5096803,Akosua,,"Congress Heights, Bellevue, Washington Highlands",38.83988,-76.99506,Entire home/apt,95,31,150,2023-07-02,1.52,1,362,1,
9660463,New Private Beauty in Cap Hill - 1 blk to Subway,33640455,Derrick,,"Capitol Hill, Lincoln Park",38.8802957,-76.98807889999999,Entire home/apt,135,1,50,2024-03-23,5.00,1,62,50,Hosted License: 5007242201002816
9704912,Elegantly Designed Antique-Filled Row House with Deck,36275317,Trina,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91602,-77.00311,Entire home/apt,150,14,23,2024-03-03,0.25,1,192,4,Unhosted License: 5007262201000424
9732220,"Free Off-Street Parking, Woodley Park/Zoo!",44218721,Trish,,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",38.92671,-77.05426,Entire home/apt,190,2,319,2024-03-20,3.27,1,292,81,Hosted License: 5007242201001666
9854986,Tiny Cottage in DC,22239362,Linden,,"Union Station, Stanton Park, Kingman Park",38.89519,-76.98655,Entire home/apt,95,2,509,2024-03-08,5.05,2,303,46,Hosted License: 5007242201000595
9920493,Adams Morgan condo near Zoo parking options,14692970,P,,"Kalorama Heights, Adams Morgan, Lanier Heights",38.92446,-77.04199,Entire home/apt,132,30,28,2024-01-10,0.29,4,263,3,Exempt
9954831,2 BR Fully Furnished Apartment at Penn Quarters -,16644446,Corporate,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90253,-77.02312,Entire home/apt,433,3,22,2023-12-28,0.22,20,150,8,Unhosted License: 5007242100000011
9973170,Suite in Georgetown East Village,27550391,Michael,,"Georgetown, Burleith/Hillandale",38.90915,-77.06228,Entire home/apt,155,2,293,2024-03-15,2.97,2,146,67,Hosted License: 5007242201000948
10021464,2 BR Apartment Walking Distance to National Museum,16644446,Corporate,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.89721,-77.01883,Entire home/apt,353,3,17,2023-09-22,0.18,20,136,4,Unhosted License: 5007242100000013
10021714,2 Bedroom Apt. near Washington Monument,16644446,Corporate,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.89767,-77.0257,Entire home/apt,439,3,69,2023-10-22,0.70,20,138,2,Unhosted License: 5007242100000018
10021958,Washington 2BR Apt. Near WHITE HOUSE,16644446,Corporate,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.89691,-77.01687,Entire home/apt,388,3,10,2021-07-24,0.10,20,130,0,Unhosted License: 5007242100000015
10059402,2 BR Fully Furnished Apartment at Penn Quarters -,16644446,Corporate,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.8998,-77.02437,Entire home/apt,433,3,29,2024-02-01,0.29,20,148,14,Unhosted License: 5007242100000014
10059646,2 BR Fully Furnished Apartment at Penn Quarters -,16644446,Corporate,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.89832,-77.02238,Entire home/apt,433,3,13,2024-02-27,0.14,20,146,4,Unhosted License: 5007242100000012
10082572,Cozy 2BR Basement Apt. with Private Entrance,46722229,Monet&Cris,,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",38.9659,-77.00427,Entire home/apt,79,30,131,2023-10-04,1.31,2,306,6,Hosted License: 5007242201001833
