listing_id,host_id,neighbourhood_id,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price
24754002,186697530,13,38.91215,-77.03783,2,2.0,2.0,2.0,160.0
24755870,78194147,18,38.92902,-77.02001,2,1.0,1.0,1.0,70.0
24769658,14831290,28,38.92368,-76.98206,4,2.5,3.0,2.0,370.0
24773385,187304607,2,38.88736,-76.9825,4,1.0,1.0,1.0,92.0
24797782,31488625,2,38.88127,-76.99642,4,2.5,2.0,2.0,282.0
24810161,94251412,26,38.95336,-76.98992,2,1.0,0.0,1.0,90.0
24833451,3672670,6,38.9127,-77.08839,3,1.0,1.0,1.0,95.0
24864186,3672670,6,38.91182,-77.09056,5,1.0,2.0,2.0,199.0
24936527,22194235,17,38.90767,-77.06253,6,1.0,3.0,4.0,185.0
24941379,2430045,9,38.91206,-77.02518,6,2.0,2.0,3.0,215.0
24942480,19979392,38,38.90689,-76.93524,1,1.5,1.0,1.0,72.0
24942889,19979392,38,38.90736,-76.93342,1,1.5,1.0,1.0,68.0
24943100,19979392,38,38.9068,-76.93496,1,1.5,1.0,1.0,68.0
24945114,127871545,5,38.939,-77.01885,2,1.0,1.0,1.0,150.0
24970939,124782850,34,38.82766,-77.00925,3,1.0,1.0,1.0,48.0
25037403,124782850,34,38.82766,-77.00925,1,1.0,1.0,1.0,45.0
25054523,130259254,5,38.94922,-77.02637,2,1.0,1.0,1.0,104.0
25071659,189535978,2,38.88561,-77.00135,10,3.0,5.0,5.0,881.0
25101761,7989061,2,38.88946,-76.98216,2,1.0,0.0,1.0,90.0
25126483,158352584,1,38.91879,-77.00804,2,1.0,1.0,1.0,83.0
25137893,28825130,13,38.90802,-77.04966,4,1.0,1.0,2.0,120.0
25162568,190135215,27,38.94713,-77.07217,6,2.0,3.0,5.0,309.0
25212021,124782850,34,38.82698,-77.00935,1,1.0,1.0,1.0,39.0
25239060,105502689,15,38.89787,-77.01956,6,2.0,2.0,2.0,279.0
25280093,16259214,16,38.899891,-76.999733,4,1.0,1.0,2.0,190.0
25348151,98694394,5,38.94368,-77.02472,3,1.0,1.0,1.0,110.0
25378845,191611525,1,38.91641,-77.01001,3,1.0,1.0,1.0,89.0
25418737,12571117,38,38.90085,-76.92819,2,1.0,1.0,1.0,75.0
25474562,105748910,9,38.90795,-77.0294,6,1.0,2.0,3.0,313.0
25476758,146624030,2,38.87859,-76.98744,6,1.0,1.0,6.0,30.0
25502416,190842767,16,38.89877,-76.99587,4,1.0,1.0,2.0,111.0
25571727,192876941,7,38.92368,-77.07509,2,1.0,0.0,1.0,121.0
25582192,88364420,31,38.90561,-76.97473,4,1.0,2.0,3.0,98.0
25605861,86401186,16,38.90386,-77.00044,1,1.5,1.0,1.0,90.0
25625700,140334352,30,38.89449,-76.94115,2,1.0,1.0,1.0,80.0
25629848,5850,17,38.91504,-77.07484,3,,2.0,,
25742193,87977393,4,38.92297,-77.04578,4,1.0,1.0,1.0,126.0
25780267,1998736,14,38.88414,-76.94173,1,1.0,1.0,1.0,52.0
25798423,9263895,9,38.91017,-77.02147,10,2.5,3.0,7.0,401.0
25804997,224561145,1,38.9168,-77.0079,4,1.0,1.0,2.0,98.0
25814369,11158634,2,38.88429,-76.99089,4,1.0,1.0,1.0,181.0
25882830,22991901,17,38.91127,-77.06751,4,1.0,2.0,2.0,118.0
25896860,194610108,28,38.92711,-76.98809,6,1.0,2.0,3.0,178.0
25913368,37494995,6,38.93234884207413,-77.08783360504384,2,1.0,1.0,1.0,165.0
25950556,4471145,13,38.913933,-77.040741,2,1.0,1.0,2.0,128.0
26004413,7653159,16,38.895286560058594,-76.9817886352539,5,1.0,2.0,3.0,109.0
26108745,176304871,18,38.93406,-77.03147,1,2.0,1.0,1.0,49.0
26117108,9147142,1,38.91556,-77.01344,6,,2.0,,
26133778,20668969,31,38.90649,-76.9895,2,1.0,1.0,1.0,105.0
26192482,75458574,16,38.90318,-76.99876,4,,,,
26276079,12337660,5,38.95778,-77.03467,2,,2.0,,
26337047,85931792,10,38.91636,-77.01475,3,1.0,1.0,1.0,120.0
26397823,6165522,3,38.90716,-76.94676,2,1.0,1.0,1.0,50.0
26427409,6688891,38,38.9012,-76.92454,3,1.0,1.0,1.0,41.0
26445685,122382567,9,38.90988,-77.02793,6,,2.0,,
26452635,99955771,9,38.9139,-77.03263,2,1.0,1.0,1.0,98.0
26473487,182058146,10,38.91528,-77.03371,1,,,,
26477012,140334352,30,38.89293,-76.94166,2,1.5,1.0,1.0,58.0
26561401,199728235,31,38.90349,-76.98491,2,1.0,1.0,1.0,150.0
26573028,24953267,20,38.93434,-77.05842,3,1.0,0.0,1.0,75.0
26579917,99955771,13,38.91539,-77.03474,2,1.0,1.0,1.0,90.0
26605048,167034668,17,38.90366,-77.06064,4,1.0,0.0,2.0,100.0
26669063,122469617,2,38.88138,-76.99374,2,,,,
26669187,61446090,26,38.93649,-76.98844,3,1.5,1.0,2.0,108.0
26686977,105711806,16,38.89736,-76.9777,2,1.0,0.0,1.0,70.0
26708700,10750206,3,38.91119,-76.93965,4,1.0,1.0,1.0,93.0
26786454,30315692,17,38.91012,-77.06565,4,1.0,2.0,2.0,225.0
26804150,176970521,13,38.90059,-77.03928,2,1.5,1.0,1.0,432.0
26805068,176970521,13,38.89994812011719,-77.04037475585938,4,2.0,2.0,2.0,527.0
26812495,160559267,18,38.93208,-77.03912,6,2.5,2.0,2.0,189.0
26895761,54872941,2,38.88498,-76.99093,4,1.0,0.0,2.0,141.0
26940356,76443009,2,38.89117,-76.99776,4,1.5,3.0,2.0,258.0
26950500,146624030,2,38.8777,-76.9892,8,1.0,1.0,1.0,26.0
26955762,146624030,33,38.87722,-76.98952,4,1.0,1.0,1.0,29.0
26956067,20323095,36,38.92365,-76.96437,2,1.0,1.0,2.0,120.0
26956333,146624030,2,38.8785,-76.98933,6,1.0,1.0,1.0,25.0
26995160,3991758,11,38.97089,-77.03095,2,,1.0,,
27059660,1904712,5,38.9543,-77.03426,4,1.0,0.0,2.0,120.0
27137715,80788728,1,38.92129,-77.00263,2,,,,
27190473,204740295,20,38.92007,-77.05407,3,1.0,2.0,2.0,120.0
27190553,189535978,2,38.88561,-77.00135,6,1.0,2.0,2.0,259.0
27205325,8116415,1,38.91843,-77.00639,2,1.0,1.0,1.0,95.0
27220012,106767299,9,38.90753,-77.02819,6,2.0,3.0,3.0,330.0
27309215,105748910,9,38.90958,-77.02947,4,1.0,1.0,2.0,235.0
27400526,6250693,10,38.91503,-77.03404,3,1.0,1.0,1.0,141.0
27466057,67977573,17,38.91428,-77.0724,7,2.0,3.0,5.0,380.0
27493543,7737475,28,38.92137,-76.981,1,1.0,1.0,1.0,45.0
27518177,159982035,34,38.82697,-77.01,1,1.5,1.0,1.0,76.0
27546981,12677243,16,38.89687,-76.97134,4,1.0,1.0,2.0,94.0
