listing_id,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,reviews_per_month,review_scores_value
1092066506008649847,2,2,0,2024-02-03,2024-03-05,4.5,5.0,5.0,4.5,3.5,5.0,0.43,4.5
1092066514476814430,3,2,0,2022-12-05,2024-03-20,4.67,5.0,5.0,3.0,4.33,4.67,0.16,4.67
1092066523506177534,28,9,0,2022-12-11,2024-04-03,4.43,4.57,4.89,3.86,4.46,4.82,1.5,4.5
1092084174342497804,3,2,0,2022-12-03,2024-04-23,5.0,4.67,5.0,4.33,4.67,4.67,0.16,4.33
1092084182819668405,2,1,1,2022-12-03,2024-05-22,5.0,4.5,5.0,4.0,4.5,4.5,0.11,4.5
1092084191991674988,38,28,5,2022-10-30,2024-06-16,4.53,4.61,4.71,4.16,3.97,4.79,1.9,4.39
1092084207176572568,14,14,0,2023-10-15,2024-03-03,4.36,4.43,4.93,4.43,4.5,4.64,1.67,4.29
1092084215413537437,3,3,0,2023-11-24,2024-03-03,4.67,5.0,4.67,4.67,4.67,5.0,0.43,5.0
1092084223723300665,8,4,0,2023-04-15,2024-03-11,4.75,4.5,5.0,3.88,4.63,4.75,0.55,4.25
1092084230944196725,3,1,0,2023-05-30,2024-03-27,4.0,4.0,4.0,3.67,3.67,5.0,0.23,3.67
1092084238639823659,11,11,1,2023-11-13,2024-05-27,4.82,4.18,4.82,5.0,4.45,4.82,1.49,4.36
1092084246019795768,3,3,1,2023-10-02,2024-05-26,5.0,4.67,5.0,4.0,4.67,4.0,0.34,3.67
1092084254609853581,3,3,0,2023-10-08,2024-03-18,3.67,4.33,4.67,3.67,4.0,4.67,0.35,3.67
1092084262994334717,10,10,4,2023-09-30,2024-06-02,4.3,4.6,4.2,3.7,4.6,4.6,1.13,4.3
1092084273744572142,2,2,0,2023-09-25,2024-03-21,5.0,5.0,5.0,5.0,5.0,5.0,0.22,4.5
1092084282679766835,17,13,0,2023-05-07,2023-07-31,4.24,4.53,4.71,4.47,4.47,4.76,1.24,4.24
1092089727768788761,47,44,0,2023-04-23,2024-03-18,4.64,4.66,4.91,4.57,4.51,4.83,3.31,4.7
1092089736487904404,2,1,0,2023-04-10,2024-03-29,4.0,4.5,5.0,4.0,4.0,4.5,0.14,3.5
1092089744388774672,4,4,0,2024-01-05,2024-05-07,4.5,4.5,5.0,4.75,4.75,4.75,0.71,4.75
1092089752079713031,2,2,0,2023-11-27,2024-03-29,5.0,5.0,5.0,4.5,5.0,5.0,0.29,5.0
1092089761582791310,5,2,0,2023-03-08,2024-04-05,3.6,4.2,4.6,4.0,3.2,4.2,0.32,4.0
1092089769137477639,7,2,0,2023-02-20,2024-03-28,4.43,4.86,5.0,4.0,4.14,4.43,0.43,4.0
1092089776795920351,13,13,3,2023-12-16,2024-06-11,4.46,4.31,4.69,4.85,4.69,4.85,2.06,4.62
1092089784652620621,8,4,0,2023-05-08,2024-03-03,4.5,4.63,4.63,4.13,4.38,4.38,0.58,4.38
1092089793191494935,7,7,0,2024-01-07,2024-03-04,4.29,4.43,4.14,3.71,3.29,4.57,1.26,4.0
1092089801875550171,18,1,0,2023-04-13,2024-03-04,4.33,4.56,4.5,4.11,4.22,4.72,1.24,4.39
1092089817215006495,6,4,0,2023-02-08,2024-03-31,4.83,4.5,4.5,4.0,4.67,4.83,0.36,4.67
1092089826970334074,15,4,0,2023-02-15,2024-04-07,4.47,4.53,4.73,4.47,4.33,4.67,0.91,4.47
1092089838001819825,8,2,0,2023-03-08,2024-05-07,4.88,4.75,5.0,4.25,4.25,4.88,0.51,4.63
1092091371900294188,2,0,0,2023-02-26,2023-03-21,5.0,5.0,5.0,3.0,3.0,3.0,0.12,4.0
1092091379332852736,22,20,4,2023-03-06,2024-06-17,4.55,4.77,4.82,4.23,4.64,4.73,1.39,4.41
1092091388374841199,3,1,0,2022-11-12,2024-04-05,5.0,5.0,5.0,4.0,4.67,5.0,0.15,5.0
1092091396321008165,5,5,1,2024-01-07,2024-06-09,4.2,4.4,4.6,4.4,4.6,5.0,0.9,4.2
1092091406990892412,144,54,0,2022-11-07,2024-03-28,4.47,4.69,4.81,4.01,4.28,4.76,7.28,4.46
1092091416348754811,73,26,0,2022-12-27,2024-04-29,4.47,4.63,4.67,4.12,4.22,4.81,4.03,4.33
1092091425264606009,18,3,0,2023-01-09,2024-03-18,4.61,4.5,4.89,4.39,4.5,4.78,1.02,4.5
1092110204384832471,13,13,0,2024-03-02,2024-05-10,5.0,5.0,5.0,5.0,5.0,4.54,3.48,4.92
1093170817383420131,18,18,2,2024-02-22,2024-06-14,4.61,4.72,4.78,4.89,4.83,4.94,4.46,4.5
1093365377607945639,12,12,2,2024-03-09,2024-06-07,4.92,4.91,4.91,4.09,4.82,4.55,3.43,4.91
1093572546648718017,1,1,1,2024-06-15,2024-06-15,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0
1094120076593388417,1,1,1,2024-06-01,2024-06-01,5.0,4.0,5.0,5.0,5.0,5.0,1.0,3.0
1094303141029392197,24,24,5,2024-03-06,2024-06-13,4.92,4.96,5.0,5.0,5.0,5.0,6.67,4.92
1095052433496838767,23,23,3,2024-02-29,2024-06-20,4.91,5.0,4.95,4.95,5.0,4.73,6.05,4.86
1095122865023556713,0,0,0,,,,,,,,,,
1095202301721970285,19,19,5,2024-02-29,2024-06-16,5.0,4.83,4.94,4.89,5.0,4.78,5.0,4.89
1095650085936455359,1,1,0,2024-03-10,2024-03-10,1.0,1.0,5.0,1.0,1.0,5.0,0.29,1.0
1095650096455873520,3,3,0,2024-02-28,2024-04-01,3.33,3.67,3.33,3.67,3.0,3.67,0.78,3.0
1095650104098654413,2,2,0,2024-03-15,2024-04-03,4.5,4.5,4.0,4.0,3.0,5.0,0.61,4.5
1095650112019015465,1,1,0,2024-04-27,2024-04-27,5.0,5.0,5.0,5.0,5.0,5.0,0.54,5.0
